donor_description,height,weight,eye_color,hair_color,skin_tone,education_level,education_field,ethnic_background,religion,occupation,interests_hobbies
"NFL-Scouted Athlete. If you’re looking for a real athlete, look no further. This college football player was so good, he even competed in the NFL Combine! “I am very ambitious, and I strive for perfection,” he says. His passion for sports became an academic path too, when he got a BS in Sport Administration. Charismatic with a great laugh, loves dancing and going to church on Sundays. He shows kindness by always greeting people when he enters a room and listening to others, whether he agrees with them or not.",5'11 (180cm),180 lbs (82kg),Brown,Black,,Bachelor,Sport Studies,Black or African American,Christian,,
Amazing Energy. (Adult Photos Available),5'10 (178cm),151 lbs (68kg),Brown,Black,,Bachelor,"Communications, Journalism",Caucasian,Agnostic,,
"Climbing to the Top. Friendly and outgoing, has soft brown eyes, a boyish face, a warm smile, and dimples. This well-rounded civil field engineer puts 110% into everything that he does. Well-rounded and a team player, this athletic scholar earned a science award, math award, and 4 varsity letters. His sports of choice include baseball, basketball, soccer, snowboarding, ultimate Frisbee, and disc golf. Fond of the outdoors, he goes hiking, camping, rock climbing, and farming. This high honor student isn’t just mind and muscle, he also has an artistic side and enjoys music and drawing,. Diego Luna Jorge Diaz",5'10 (178cm),150 lbs (68kg),Brown,Light Brown,,Bachelor,"Civil Engineering, Physics","Caucasian, Middle Eastern or Arabic",,,
"Animal Loving Engineer. With a Master’s in Electrical Engineering, this 5'10"" software engineer combines intellect with heart. Fluent in English and Mandarin, is passionate about animals, volunteering to help stray dogs find loving homes. His love for soccer, and playing guitar keeps him active and creative. He treasures his bond with his mother and cherishes family traditions like celebrating the Chinese New Year. Driven by curiosity and determination, he has a thirst for adventure and making a positive impact.",5'10 (178cm),164 lbs (74kg),Black,Black,,Master,"Computer Engineering, Electrical Engineering",Asian,,,
"Doe-Eyed Sales Guy. loves to be goofy to make others laugh. A part-time student working as a sales associate, he never gives up and has worked incredibly hard to achieve his current career and education. This outgoing donor is a man of many talents, including, but not limited to, Python coding, music production, and car detailing. With big brown eyes and a sweet smile, he even has modeling experience! He has an adventurous spirit and is happiest in a tropical climate, such as Bali or the Philippines.",5'7 (170cm),134 lbs (61kg),Brown,Black,,Other,"Business, Economics","American Indian or Alaska Native, Hispanic or Latino",Catholic,,
"6'5"" DIY Dude. This slim, 6’5” donor always stands out in a crowd! Passionately independent, prefers solo sports like climbing, cycling and, most of all, motocross. He’s even building his own race car so he can compete! He takes great pride in the DIY gene he got from his dad, whether doing plumbing and electrical work or backpacking through 50 miles of unmarked terrain. This driven donor made honor roll in school, got an associate of arts degree in psychology and now works as a wholesale insurance broker.",6'5 (196cm),195 lbs (88kg),Hazel,Brown,,Other,Psychology,Caucasian,,,
"Calm, Cool, and Caring. Calm, cool, and caring in all situations, reminds us of the friendly, confident, super-protective big brother everyone wishes they had. He’s the thoughtful type who remembers friends’ birthdays and is always there for his family. Tall and fast, this gifted sprinter was a track standout who made it to State in his freshman year, running the relay and the 400-meter dash. Playing video games and listening to J. Cole are this dean’s list student’s favorite ways to relax.",6' (183cm),198 lbs (90kg),Brown,Black,,Other,Sociology,Black or African American,,,
"Multi-Talented Chef. After hitting the beach for some early morning surfing, tall, blue-eyed spends his day working as a legal assistant. Off the clock, he devotes himself to his passion: cooking. This talented chef is known for his culinary skills, adventurous recipes, and unforgettable Friendsgiving dinners. A real people person, he’s the dependable, open-minded friend everyone turns to for relationship advice. His free time is spent writing and performing music, camping, and training his dog.",6' (183cm),179 lbs (81kg),Blue,Blond,,Bachelor,Communications,Caucasian,,,
"Master Storyteller. With his chocolate-brown eyes and coffee-brown hair, is a 6’2” charmer whose masterful Dungeons and Dragons storytelling skills rival those of J.R.R. Tolkien for inventiveness and excitement. He sees his B.S. in Political Science as the first step toward a future career in politics. Friends say he's 'a compassionate and selfless individual who puts the needs of many before his own.' Loyal and carefree, loves everything about basketball — playing, refereeing games, coaching, everything!",6'2 (188cm),217 lbs (98kg),Brown,Brown,,Bachelor,Political Science,"Hispanic or Latino, Caucasian",,,
"Charismatic Athlete. If charm were a superpower, this outgoing, highly charismatic 6’2” Latino athlete would be starring in his own Marvel movie. The first in his family to graduate from college (a B.A. in Business Economics), sees grad school as the logical next step in his commitment to lifelong learning and career advancement. A First Team All-League volleyball player, he stays fit by working out, shooting hoops, running, and playing with his beloved dogs.",6'2 (188cm),201 lbs (91kg),Brown,Black,,Master,"Business, Economics",Hispanic or Latino,Agnostic,,
"Humble Inventor. Three times a charm with this South Asian robotics systems engineer. graduated with a master's as a triple major and knows three languages (Hindi, Spanish, and English)! He has several patents for his inventions and founded a tech company focused on saving lives and reducing energy usage. Bonus: He broke his high school’s athletic records and is a philanthropist! Sound like the perfect guy? His friends and family think so, describing him as easygoing, hardworking, and reliable.",5'10 (178cm),170 lbs (77kg),Brown,Black,,Master,"Computer Science, Electrical Engineering, Mechanical Engineering",Asian,Hindu,,
"Linguistic Savant. is a true intellectual: witty, articulate and wholly original. He got a 4.0 GPA in high school but was also an award-winning linguist whose foreign exchange trip to Germany was wholly funded by the German government. After high school, he got a B.S. in finance, and now works in private equity. This brainy donor also loves getting outside and is an experienced survivalist and Eagle Scout. He has fair skin and dark hair, and even his childhood photos sparkle with an intellect beyond his years.",5'8 (173cm),196 lbs (89kg),Brown,Dark Brown,,Bachelor,"Computer Science, Finance, German",Caucasian,Roman Catholic,,
"The Jiu-Jitsu Kid. Cars, carpentry, plumbing, computers… you name it and this renaissance man can do, build or fix it. An accomplished mixed martial artist who loves the outdoors, is happiest breaking trail in the wilderness heading to a secret fishing spot. His deep sense of integrity and strong personal values led him to work in security and private investigation; but he’s thinking it’s time to apply his natural gift for debating at law school now that he’s wrapped up his BA in Communications.",5'10 (178cm),157 lbs (71kg),Brown,Red Brown,,Bachelor,Communications,Caucasian,,,
"Problem-Solving Pitbull. When faces a problem, he's so determined to solve it that coworkers call him “The Pitbull!” At 6’ tall with straight, black hair, he’s highly athletic and likes playing all sports. He has a BS in management information systems and works as a Sr. field tech engineer. Plus, he has a photographic memory, can fix anything, and even fixed iPhones as a college job. An ethnic mix of Caucasian and Middle Eastern, he speaks Farsi (and English) and loves Persian food — especially abgoosht!",6' (183cm),154 lbs (70kg),Brown,Black,,Bachelor,Information Systems and Mgmt,"Caucasian, Middle Eastern or Arabic",Agnostic,,
"Everyone’s Best Friend. This brown-eyed, dimpled Hispanic donor was captain of the soccer team and graduated with a 4.0+ GPA. has his certificate in cyber security and made the dean’s list in school. You can still catch him playing on the field every week with his lustrous brown hair blowing in the wind. On top of being a proficient athlete, he knows how to play piano and likes to mix his own music. Once you become his friend, you’ve earned his loyalty for life, and he’ll go out of his way to help others.",5'7 (170cm),144 lbs (65kg),Brown,Dark Brown,,Bachelor,"Anthropology, Public Health",Hispanic or Latino,Catholic,,
"Car-Loving Biz Guy. has golden-brown eyes, a charming smile, and a genuine laugh. It would be easy to mistake this outgoing 6’1” baseball player for a pro athlete. But he’s actually a business and marketing major, with a passion for tech and engineering. One of his hobbies is building computers and his passion is cars — Japanese imports specifically. He loves Chinese New Year for the food, good fortune, and chance to embrace his Asian culture. He’s also close to his sister, who always has his back.",6'1 (185cm),192 lbs (87kg),Brown,Black,,Bachelor,"Business Administration, Marketing",Asian,Buddhism,,
"Design Master. As a child, loved to tinker and invent things out of various supplies he found around his house. Years later, this Master’s engineering student has not lost his passion, and still spends all of his time designing, inventing, and imagining the industrial future of the world’s cities. His innate creativity spills over outside the classroom as well where he enjoys oil painting and calligraphy. When he’s not furiously scribbling at his plans at school, he absolutely loves to travel (a passion he inherited from his mother, who used to take him around the world) and talk to his friends about technology, sports, and life. Brown-eyed and handsome, he makes his friends feel at ease and happy around him—they especially love his quick wit and fun-loving spirit, particularly when he breaks out into song and dance (which happens often!).. Rain Raizo Xia Yu",5'10 (178cm),154 lbs (70kg),Brown,Black,,Master,"Engineering, Industrial Design",Asian,,,
Gentle Soul,5'8 (173cm),147 lbs (67kg),Blue,Light Brown,,Postgraduate,"Biological & Biomedical Sciences, Environmental Studies, International Studies, Medicine",Caucasian,Buddhism,,
"A Bengali Brainiac. says he works well under pressure. He came to the U.S. from Bangladesh as a college freshman, graduated with a 4.07 GPA (and Latin honors) in biochemistry/molecular biology, and now has a fellowship researching diabetes and Alzheimer’s. No surprise, considering his dad is a doctor and his mom has her master’s. He loves to travel because it reminds him of how small we are and how vast the world is. He calls himself “talkative,” and enjoys his weekly soccer games, and reading detective novels. He believes that when life gives you lemons, you should make lemonade…and fill the glass half full.",5'10 (178cm),194 lbs (88kg),Brown,Black,,Master,"Biochemistry, Molecular Biology",East Indian,Islam,,
"Poli-Sci Marathoner. is the one all of his friends go to for advice. He has a calm, caring personality, a warm smile, and thick shiny hair straight out of a shampoo commercial. A former varsity wrestler, he now runs marathons to stay fit. After falling in love with politics at a young age, he went on to get a poli-sci B.A., and now works as a political consultant. A lifelong foodie, he expresses himself by cooking for friends. Check out his nori chicken recipe in the Express Yourself section of his profile!",5'6 (168cm),166 lbs (75kg),Hazel,Brown,,Bachelor,Political Science,"Caucasian, Asian, Hispanic or Latino",Agnostic,,
"Teacher of Many Talents. is the definition of multitalented. With a B.A. in English and minor in jazz, he’s as book smart as he’s musically inclined. This fun-loving guy has played saxophone, guitar, and bass since childhood and shines in professional performances or chill jam sessions with friends. He’s a bright-eyed brainiac who’s won awards in writing and physics, worked as a professional math tutor, and learns new languages as a hobby. The best compliment he's received? That he has a natural knack for teaching.",5'10 (178cm),145 lbs (66kg),Blue,Light Brown,,Master,"Education, Jazz Composition",Caucasian,,,
"6'4'' Soulful Musician. At 6’4, with wavy black hair and hazel eyes, this is a beautiful combination of his Korean mom and Irish dad. He ran varsity track in high school and now stays fit by rock climbing. Currently a college student, he graduated high school with a staggering 4.16 GPA. In his free time, this passionate donor plays drums in a band and writes music. He finds inspiration from human connection and loves cooking for friends. Deep and thoughtful, he believes in banishing regret and releasing what he can't control.",6'4 (193cm),181 lbs (82kg),Hazel,Black,,Bachelor,"Marketing, Music","Caucasian, Asian",Spiritual,,
"Mr. Mount Everest. When says he’s athletic, he means it. This 4-year varsity soccer player (and team captain) recently summited Mt. Everest! His remarkable accomplishment can be attributed to his lifelong belief in the value of hard work. Since childhood, he’s been complimented on his maturity and responsibility – as well as his dazzling green eyes. This bilingual guy and business admin student is even great with children, and has loved working as a tutor, soccer coach, and karate instructor.",5'8 (173cm),153 lbs (69kg),Green,Dark Brown,,Other,Business Administration,Hispanic or Latino,Catholic,,
"Bilingual Optimist. Looking for an athletic Hispanic with soulful brown eyes and dimples? is a health-conscious business owner graduating cum laude with a B.A. in community health. A genuine caretaker, he loved raising his younger siblings and shaping them into the people they are today. Some of his favorite things growing up were making them laugh and building core memories with them. To top it off, he’s an eternal optimist and never takes life for granted.",5'7 (170cm),177 lbs (80kg),Brown,Black,,Bachelor,Health Science,Hispanic or Latino,,,
"Academic All-Star. has earned an academic resume to die for: a 4.0 GPA in high school, a 4.0 GPA in college, a B.F.A. in Architecture and Fine Arts, an M.A. in Media Design, and 2 years of post-graduate work in Film. But don’t mistake him for a nerd – he played football and volleyball in high school, and stays in shape with cycling, kendo, snowboarding, basketball, and tennis. Artistically, he’s talented in drawing, design, photography, and guitar.. Lee Dong Wook Sung Kang",5'8 (173cm),158 lbs (72kg),Brown,Black,,Master,"Architecture, Fine Arts, Film, Media Arts",Asian,Buddhism,,
"Genius IQ and Dimples. This donor makes being a genius-level scholar and award-winning athlete look easy breezy. A PhD candidate in computer science, he has solved important artificial intelligence problems and published over 20 research papers. With an IQ over 150, it’s no surprise he’s trilingual (in English, Japanese and Mandarin). is also incredibly athletic, a former college swimmer who loves kayaking with friends. He always has a smile on his face, showing off his cute dimples, and his mom says even as a baby, he rarely cried.",5'8 (173cm),141 lbs (64kg),Black,Black,,Postgraduate,Computer Science,Asian,Christian,,
"Trilingual Traveler. With the blonde hair, blue eyes and fair skin of his Russian and Ukrainian ancestry, this impressive donor has a master's degree in banking and speaks three languages: English, Russian and Ukrainian. He’s also a born mediator who can get along with anyone, which is why friends and co-workers always send him in when it’s time to smooth out drama or strike a deal. A born adventurer, loves bungee-jumping and skydiving and has traveled to 53 countries — and counting!",5'10 (178cm),190 lbs (86kg),Blue,Blond,,Master,Banking,Caucasian,Orthodox,,
"Health-Conscious Hobbyist. Basketball, weights, and juggling – oh my! Health is a way of life for. From diversified workouts to cooking nutritious meals, wellness is central to this cleft-chinned project manager. A glance at his bookshelf reveals a fascination with politics. Although this bilingual bookworm is perfectly content at home with a good read, he also loves to travel. He’s been to Spain several times and the incredible food, electronic music scene, and daily opportunity to speak Spanish has made him eager to return.",5'11 (180cm),184 lbs (83kg),Brown,Black,,Bachelor,Environmental Studies,Hispanic or Latino,Agnostic,,
"The World Will Be His Playground. After spending so much time in the classroom learning about the cultures of the world, this geography student is ready to take his adventurous spirit on the road and see the world firsthand. His dream destination is Tibet, but he also hopes to traverse the rest of the globe during his lifetime, and is extremely passionate about this goal. This wanderlust-er has a cool, laid-back personality and loves spending time with his many friends. He is thoughtful and caring, and loves to draw (no doubt his sketchbook will be full of amazing places one day!). Athletically built, with a rugged jawline and deep brown eyes, he loves to play football, bike, and skateboard in his free time.. Lee Joon",5'10 (178cm),137 lbs (62kg),Brown,Black,,Bachelor,Geography,Asian,,,
"CrossFit Flyer. is a software developer with a technical mind. He believes in informed decision-making, and his investment portfolio is proof. This reliable guy with green eyes is always up for a challenge, especially long-distance hikes – an interest he attributes to his grandfather. He’s passionate about maintaining a healthy lifestyle, and loves HIIT workouts and CrossFit to stay in shape. It helps that he’s a great cook too! His most recent interest? Pursuing a private pilot license!",5'11 (180cm),205 lbs (93kg),Green,Light Brown,,Master,"Computer Science, Computer Engineering",Caucasian,,,
"Tall Marketing Guru. Looking for a guy in marketing? 6’2”, brown eyes, and a minor in psychology? This introspective sweet soul was also captain of his high school athletic teams. Friends go to for advice because they know he’ll always be honest and empathetic. In his free time, he loves to travel or curl up with a good crossword puzzle. His confidence makes him a hard worker and he always takes initiative. At his core, he believes honesty, kindness, and empathy make you a better person.",6'2 (188cm),191 lbs (87kg),Brown,Black,,Bachelor,"Marketing, Psychology","Mixed or Multi Ethnic, Black or African American",Baptist,,
"Caribbean Charmer. With dark, long lashes, and dimples, gets his broad shoulders from competitive weightlifting when he was younger. He graduated from high school two years early (with an associate degree), then got a bachelor’s in psychology and studied post grad — with a 4.0. He loves the arts (he’s pursuing acting) but is also very scientific. His favorite holiday is Thanksgiving. In his family it’s a big party with a “turkey-off” using the recipes of his Trinidadian and Jamaican sides of the family.",5'8 (173cm),226 lbs (103kg),Brown,Brown,,Master,"Criminal Justice, Education Administration, General Studies, Leadership, Psychology","Hispanic or Latino, Caucasian, Black or African American",,,
"6'2"" Computer Genius. This 6’2” donor is a serious brain; after nailing the SATs with a perfect math score, he studied computer science and economics in college, graduated with Latin honors, and became a senior software engineer. He has great genes too, with all four grandparents living into their 80s or 90s. A fledgling philosopher, he unwinds by observing the night sky with his telescope. He’s not all serious though, and loves watching “The Office” and indulging (occasionally!) in his favorite dessert: double chocolate cake.",6'2 (188cm),198 lbs (90kg),Brown,Dark Brown,,Bachelor,"Computer Science, Economics",Asian,,,
"Family and Business Oriented. will stop at nothing to accomplish his goals! With a B.S. in business administration and a commercial real estate license, he’s always hustling on the career front. But he also knows what really matters: family. He calls his mom his rock, and relishes happy childhood memories of family camping trips, like when he dove into a river at 10 to save his cousin’s lost slipper – and found it! At 6’1”, this donor has wavy black hair, hits the gym often and is an avid snowboarder.",6'1 (185cm),226 lbs (103kg),Brown,Black,,Bachelor,Business Marketing,Asian,Christian,,
"Keyboard Master. When not sitting at one keyboard or another, this software engineer and amateur composer can often be found on the tennis or basketball court. A self-motivated and disciplined student, he credits his strong relationship with his mother as an important part of his academic success. He is kind to all creatures and believes we need to protect Mother Earth. Although video games are a major hobby, he also sees the damage they can cause if not played in moderation.. Yi Jianlian Daniel Yin-Cho Wu",5'10 (178cm),171 lbs (78kg),Black,Black,,Master,"Computer Science, Engineering",Asian,,,
"Chill Saxophone Star. This donor might make you do a double-take, but no — he’s not a movie star, despite the 6’ athletic build and flawless facial hair. He’s a professional sax player with a music studies degree and an almost perfect GPA. He also has a sense of humor, admitting, “I can barely replace a lightbulb.” He has a chill vibe and loves comedy and pad Thai, but can be serious too, saying, “I think that those with good moral beliefs are more likely to become successful, happy people with fulfilling lives.”",6' (183cm),180 lbs (82kg),Brown,Brown,,Bachelor,"Interdisciplinary Studies, Music",Caucasian,Agnostic,,
"Coding Cutie. has been fascinated by robotics and computers since childhood, leading him to pursue a BS in computer science. With wavy dark hair, this hardworking guy is a full-time student who also works in the evening. Despite his busy schedule, he doesn’t get stressed easily, and goes with the flow. He weightlifts every day, and loves going to the gym to catch up with friends. Lifting aside, his list of athletic achievements includes varsity volleyball, soccer, and even a full marathon!",5'10 (178cm),177 lbs (80kg),Brown,Black,,Bachelor,"Computer Info Systems, Computer Science",Middle Eastern or Arabic,,,
"Fit & Friendly. Good-looking with striking hazel eyes, dimples, and a warm smile, is friendly, caring, and has a big heart. He volunteers as a soccer coach and maintains his fit physique by playing soccer and working out. Active and full of energy, he keeps himself busy by horseback riding, hiking, boxing, and doing judo. This fast learner loves learning new things, meeting new people, and trying new food. Fond of being outdoors, he also enjoys meditating in the mountains.",5'11 (180cm),162 lbs (73kg),Hazel,Black,,Other,Business,Hispanic or Latino,Catholic,,
"6’3” Biotech Brainiac. is hard work and brilliance embodied. This 6’3” guy has a laundry list of successes, including two medical PhDs and biotech startups! He’s a postdoctoral scholar creating positive contributions to society through his work in medicine. His work-life balance is just as admirable. You’ll find this sports enthusiast shooting hoops or on a 6 -15 mile run several days a week! He regularly volunteers and organizes charity events for animal shelters, low-income families, and unhoused folks.",6'3 (191cm),209 lbs (95kg),Grey,Black,,Postgraduate,"Medicine, Pharmacology, Public Health",Caucasian,Christian,,
"Fit Future Doctor. is seriously smart. An A-student in high school, he's now acing medical school, but has a casual air about him like it’s no big deal. He excels in sports too and was captain of his high school cross-country skiing team. At a fit 5’10”, he has high cheekbones and a distinguished cleft chin. He had an idyllic childhood of bike rides and camping trips and is a lifelong, voracious reader. With all he's accomplished, it’s no surprise that this donor says his one pet peeve is wasted time.",5'10 (178cm),160 lbs (73kg),Brown,Brown,,Postgraduate,"Chemistry, Medicine","Caucasian, Asian",,,
"Skilled Student. attributes his strong work ethic to his parents and credits them as his inspiration to always try his best. His father was a firefighter, and his mother took care of him and his sister, creating a strong bond between the three of them. He likes working with his hands to build and create art. Naturally a strong student, this donor did not have to work very hard to well in school – until being with the reality of college. Transitioning and learning how to study was something he eventually mastered and excelled at, receiving straight A’s.. Leonard Nimoy (young) John Travolta (young)",5'10 (178cm),179 lbs (81kg),Brown,Brown,,Bachelor,"Engineering, Mechanical Engineering",Caucasian,,,
"Movie-Star Looks. All-Star Talent.. A talented professional musician, a gifted athlete, and a bit of a philosopher – there’s a lot to this handsome, 6’1” guitarist (Adult Photos Available). Charismatic with a great sense of humor, is super social and makes lasting friendships easily. An adventurous home chef, his Korean dumplings are AMAZING (check out the recipe in his Express Yourself).",6'1 (185cm),187 lbs (85kg),Brown,Brown,,Bachelor,Philosophy,"Caucasian, Asian",,,
"Growth Mindset. is a curly-haired cutie with a big heart. He’s often been complimented on his willingness to learn and grow. He finds the good in adversity, loves to try new hobbies (like golf), and knows how to achieve his goals. He embodies the values of respect and kindness, from helping a stranger cross the street to offering his friends advice on relationships and finances. This easygoing production supervisor prioritizes his health by staying active and eating his greens with every meal!",5'11 (180cm),180 lbs (82kg),Brown,Dark Brown,,Bachelor,Marketing,Black or African American,Catholic,,
"Econ MVP. may be an economics major, but he’ll remind you that no amount of money can buy a minute of time. He often spends his time playing video games with friends. He also enjoys coding because of the knowledge it takes to create and perfect it. A sporty teen, he was an MVP in both lacrosse and football (and an honors student) in high school. Both of his parents have master’s degrees in education, and he calls his dad his hero for the motivation he has always provided.",5'8 (173cm),148 lbs (67kg),Brown,Black,,Bachelor,Economics,Asian,,,
"Do-Gooder Doing Great. Part Chinese, part Puerto Rican, and all heart, is a caring individual passionate about helping others. Known for his great hair, kind ways and keyboard wizardry on piano, this business tech consultant is pursuing a Master's in Data Science with a focus on AI. An avid world traveler, he cherishes memories of a day spent with playful elephants in Thailand. feels fortunate that his family's healthy lifestyle helped all four of his grandparents live well into their nineties.",5'9 (175cm),172 lbs (78kg),Brown,Dark Brown,,Master,"Applied Science and Technology, Philosophy, Political Science","Asian, Caucasian",Christian,,
"Musical and Funny. A classically trained musician who plays two instruments and sings, is as witty as he is musical. He has a wacky sense of humor, which he enjoys showing off in satirical writing, but he also enjoys spending time doodling and playing volleyball. Fun-loving and creative, he has a preppy style and comfortable presence that puts everyone at ease. Although he has already travelled to several countries, this well-liked guy has never explored the U.S., and would love to go on a road trip across the country, from Florida to Alaska.. Dante Basco (young) Keanu Reeves",5'9 (175cm),180 lbs (82kg),Brown,Black,,Bachelor,"Liberal Arts, Music","Asian, Caucasian",,,
"Artistic Entrepreneur. Between his go-getter attitude and determined demeanor, it’s no wonder is a successful entrepreneur. With curly hair and hazel eyes, this former salutatorian is now a proud business owner. Outside of work, he’s a true creative who enjoys graphic design, fantasy world-building, and music creation. He’s a huge Led Zeppelin fan, a skilled beat boxer, and is fluent in Spanish from living in Argentina for several years as a child!",5'11 (180cm),184 lbs (83kg),Hazel,Brown,,Bachelor,Computer Science,Caucasian,Jewish,,
"Media Mastermind. When it comes to media, is a true Renaissance man. This 6’0” guy with charming dimples completed a BA in communications and minor in journalism (3.9 GPA). On top of graduating summa cum laude, he was awarded in creative achievement. His life goal is to become a filmmaker, and he’s already busy writing screenplays and film reviews. In his spare time, this outgoing donor enjoys playing golf, cooking new recipes, and spinning vinyl – especially if it’s Bob Dylan.",6' (183cm),145 lbs (66kg),Brown,Brown,,Bachelor,"Communications, Journalism",Caucasian,Christian,,
"Introspective Intellect. Introspective, adventurous, and curious, has the soulful eyes of a poet and the intellect to match. Perpetually outdoors, he’s quick to appreciate the smallest details during his treks around the world. Unsurprisingly, he’s also wildly intelligent, placing among the top 0.03% of all SAT test-takers and graduating with honors while working as the youngest engineer ever at his firm. Despite his career success, it's a love for travel and holistic living that drives this donor to new heights.",5'9 (175cm),196 lbs (89kg),Hazel,Dark Brown,,Bachelor,Mechanical Engineering,Caucasian,Atheist,,
"With a passion for spreading good karma and helping others realise their dream of becoming parents, this donor radiates positivity. Their youthful spirit and open-mindedness make them a joy to be around, and their ability to see the best in people naturally draws others to them. Whether it’s engaging in heartfelt conversations or simply listening to the stories of those around them, they excel in creating meaningful connections. Their warm, brown eyes and soft, inviting features reflect the kindness they embody, making them effortlessly charming. A tech enthusiast with a love for computers and gaming, they also have a knack for entrepreneurship, showing both creativity and drive in their pursuits.. ""My choice to donate and assist others in experiencing the incredible journey of parenthood stems from my unwavering belief in the power of love and the beauty of family. I hold the conviction that every individual deserves the chance to embark on this remarkable voyage, and I wanted to contribute to making that dream a reality for someone.""",166cm,76kg,Brown,Black,Medium,GCSE's,,"Mother: 0                           Indian
1                        Bulgarian
2                            Greek
3      Ecuadorian, Native American
4                            Cuban
                  ...             
121                        Chinese
122                      Taiwanese
123                         Indian
124                        Chinese
125                      Taiwanese
Name: mother_ethnic_origin, Length: 126, dtype: object. Father: 0                   Indian
1                Bulgarian
2                    Greek
3      Ecuadorian, Spanish
4             Puerto Rican
              ...         
121                Chinese
122       Chinese, English
123                 Indian
124                Chinese
125       Chinese, English
Name: father_ethnic_origin, Length: 126, dtype: object",,Barman,Computers & Gaming
"Naturally inquisitive and well-educated, this individual has a diverse academic background reflecting into their profession as a Marketing Executive. Their intellectual curiosity drives them to continuously explore new fields and expand their knowledge. A devoted family person, they are the proud parent of two children, with whom they share a deep bond and a love for quality family time. They maintain an athletic and healthy lifestyle, balancing their professional and personal interests with an active routine that includes cycling and dancing. Their approachable and friendly demeanour makes them easy to talk to, and they are always willing to answer any question with patience and clarity. In their free time, they indulge in passions for photography, videography, and design, where their creativity and attention to detail truly shine. Their well-rounded personality, combining intellectual pursuits with a love for family and creative expression, makes them a warm and engaging presence in any setting. Naturally inquisitive and well-educated, this individual has a diverse academic background reflecting into their profession as a Marketing Executive. Their intellectual curiosity drives them to continuously explore new fields and expand their knowledge. A devoted family person, they are the proud parent of two children, with whom they share a deep bond and a love for quality family time. They maintain an athletic and healthy lifestyle, balancing their professional and personal interests with an active routine that includes cycling and dancing. Their approachable and friendly demeanour makes them easy to talk to, and they are always willing to answer any question with patience and clarity. In their free time, they indulge in passions for photography, videography, and design, where their creativity and attention to detail truly shine. Their well-rounded personality, combining intellectual pursuits with a love for family and creative expression, makes them a warm and engaging presence in any setting.",175cm,75kg,Green,Light Brown,Fair,Masters Degree in Finance & Bachelor of Science (BSc) in Computer Science,,"Mother: 0                           Indian
1                        Bulgarian
2                            Greek
3      Ecuadorian, Native American
4                            Cuban
                  ...             
121                        Chinese
122                      Taiwanese
123                         Indian
124                        Chinese
125                      Taiwanese
Name: mother_ethnic_origin, Length: 126, dtype: object. Father: 0                   Indian
1                Bulgarian
2                    Greek
3      Ecuadorian, Spanish
4             Puerto Rican
              ...         
121                Chinese
122       Chinese, English
123                 Indian
124                Chinese
125       Chinese, English
Name: father_ethnic_origin, Length: 126, dtype: object",Christian,Field Marketing Executive & Television Camera Operator,"Sports/Football, Sciences & Technology"
"Empathetic, ambitious, and intellectually driven, this donor reflects on the ‘three lotteries’ that shaped their life: excellent health, a loving family, and a nurturing birthplace. These blessings inspire them to help others experience the same fortune. With a BSc in Molecular Biology and Genetics, a Master’s in Gene Therapy, and a PhD, their journey showcases a remarkable work ethic and passion for learning. Beyond academia, this donor leads an active and creative lifestyle. Their dedication to these pursuits reflects a disciplined and adventurous spirit, showing a passion for both physical fitness and artistic expression. Whether honing their skills on the court, building strength through weightlifting, or exploring their creativity through graphic design, they embrace challenges and personal growth with enthusiasm. With a deep appreciation for family values and a genuine desire to uplift others, they offer a truly balanced and inspiring profile for those seeking a donor who combines intelligence, kindness, and a dynamic approach to life.. ""I want to increase the chances of someone else experiencing the blessings that have shaped my life.""",178cm,76kg,Brown,Dark Brown,Olive,PhD in Cancer Immunotherapy,,"Mother: 0                           Indian
1                        Bulgarian
2                            Greek
3      Ecuadorian, Native American
4                            Cuban
                  ...             
121                        Chinese
122                      Taiwanese
123                         Indian
124                        Chinese
125                      Taiwanese
Name: mother_ethnic_origin, Length: 126, dtype: object. Father: 0                   Indian
1                Bulgarian
2                    Greek
3      Ecuadorian, Spanish
4             Puerto Rican
              ...         
121                Chinese
122       Chinese, English
123                 Indian
124                Chinese
125       Chinese, English
Name: father_ethnic_origin, Length: 126, dtype: object","Christian Orthodox, Agnostic",Health and Medical Scientist,"Basketball, Weightlifting, Graphic design, Martial arts, Theatre"
